#separator:tab
#html:true
"Example:<br />
Compliance Frameworks"	"<ul>
<li>CMMI</li>
<li>COBIT</li>
<li>ITIL</li>
<li>PMBOK</li>
<li>PRINCE2</li>
</ul>"
"<p>Goals of Information Management are:</p>
<ul>
<li>regarding organizational goals: {{c1::information supply}}</li>
<li>regarding corporate goals: {{c1::ensuring efficient use of information}}</li>
<li>{{c1::implementation of an Information Infrastructure}}</li>
</ul>"	
"<p>{{c2::Tasks in Information Resource Management}} are:</p>
<ul>
<li>{{c2::Data Quality Management}}</li>
<li>{{c2::Data Backup}}</li>
<li>{{c2::Enterprise Data Modeling}}</li>
<li>{{c2::Enterprise Information Integration}}</li>
<li>{{c2::Information Compliance}}</li>
</ul>"	
"<p>{{c1::Tasks in Application Systems Management}} are:</p>
<ul>
<li>{{c2::Application Architecture Management}}</li>
<li>{{c2::Business Software Engineering}}</li>
<li>{{c2::Enterprise Application Integration}}</li>
<li>{{c2::Integration of Software Applications}}</li>
</ul>"	
"<p>{{c1::Tasks in Technical Infrastructure Management}} are:</p>
<ul>
<li>{{c2::Identity and Access Management}}</li>
<li>{{c2::Network Security}}</li>
<li>{{c2::Standardization}}</li>
<li>{{c2::Virtualization}}</li>
</ul>"	
{{c1::An Information Function}} is {{c2::a task for planning, creating, executing, and maintaining the Information Infrastructure in an organization}}. {{c1::Information Functions}} represent a cross-organizational function that {{c3::supports other business functions in value creation}}.	
"<p>{{c1::Factors of Information Functions}} are:</p>
<ul>
<li>{{c2::business-related}}<ul>
<li>{{c2::responding to requirements}}</li>
<li>{{c2::promoting business-oriented IT applications}}</li>
<li>{{c2::providing vision}}</li></ul></li>
<li>{{c3::provider-related}}<ul>
<li>{{c3::managing external providers}}</li>
<li>{{c3::providing information for purchasing and sourcing}}</li></ul></li>
<li>{{c4::technology-related}}<ul>
<li>{{c4::building a flexible technical infrastructure}}</li>
<li>{{c4::providing new and existing technologies}}</li></ul></li>
</ul>"	
"<p>The Information Functions consist of:</p>
<ul>
<li>{{c1::Tasks in Application Systems Management}}</li>
<li>{{c1::Tasks in Information Resource Management}}</li>
<li>{{c1::Tasks in Technical Infrastructure Management}}</li>
</ul>"	
{{c1::The POSC Classification}} is {{c2::a categorization of management tasks into Planning, Organization, Staffing, and Controlling}}.	
"{{c1::An Application System (AS)}} is {{c2::a technical system in the form of an application that solves a business problem through the orchestration of software and hardware}}.<br />
{{c1::{{c2::<img src=""2014-Bild-Teubner-Klein-Applikationssystem_im_Schichtenmodell.png"" alt=""""><br />
Application System in the Layer Model}}}}"	
{{c1::System Software}} is {{c2::software for integration, commissioning, and control of hardware}}.	
{{c1::An Application Platform}} is {{c2::a component of the technical infrastructure that provides generic software functions used by application systems}}. {{c1::Application platforms}} provide functions that {{c3::do not necessarily have to be directly used by a user}}.	
{{c1::Technology Determinism}} is {{c2::a perspective on IT that it is an objective component that has a deterministic influence on organizations}}.	
{{c1::Technology Emergence}} is {{c2::a perspective on IT that it is driven by social influences and organizational processes as a response to social needs}}.	
"<p>Roles of Information Infrastructure in organizations are:</p>
<ul>
<li>{{c1::Backbone}}: {{c1::linking functions and processes with the information system}}</li>
<li>{{c2::Base}}: {{c2::foundation for information supply as a shared service for all users}}</li>
</ul>"	
