#separator:tab
#html:true
"<p>{{c1::Control Strategy}} consists of:</p>
<ul>
<li>{{c2::Laissez-Faire Control}}</li>
<li>{{c2::Preemptive Control}}</li>
<li>{{c2::Stewardship Control}}</li>
</ul>"	
"Question:<br />
Who is an Emission Report addressed to?"	To external third parties such as investors or business partners
"Question:<br />
How can AI be used for sustainable reporting?"	AI can be used to predefine specific reporting requirements, saving time before and during stakeholder interactions.
"Example:<br />
Strategies to reduce emissions during AI inference"	"<ul>
<li>Adjusting prompt and output length</li>
<li>Using smaller models for simpler tasks</li>
<li>Using low-emission cloud regions</li>
</ul>"
"Question:<br />
Which AI tasks cause the highest emissions?"	Image generation and image captioning, followed by text generation and summarization.
"True or false:<br />
Text classification by AI is more energy-intensive than text generation."	"False:<br>
Text classification is among the most energy-efficient tasks, while text generation consumes significantly more energy."
"Question:<br />
What are the three Value Functions of Business Models for Sustainability?"	"<ol>
<li>Maintaining Value</li>
<li>Unlocking Value</li>
<li>Sharing Value</li>
</ol>"
"True or false:<br />
A sustainable business model only needs to provide ecological benefits to be considered sustainable."	"False:<br>
A sustainable business model must create ecological and/or social and economic value and balance among them."
"True or false:<br />
Sustainable Business Models differ from conventional business models mainly through their activities."	"False:<br>
Sustainable Business Models differ not only in individual activities but in the systematic organization of activities along specific design themes and value functions."
"Question:<br />
Why is Corporate Sustainability Communication a performative instrument?"	"Because communication does not only document the past but also shapes the future, fosters identification, and initiates change, thus ""speaking"" the organization into implementation."
"Question:<br />
What are reasons for negative effects from excessive Corporate Sustainability Talk (Overcommunication)?"	"<ul>
<li>Cognitive overload for internal actors</li>
<li>Skepticism and loss of identity among stakeholders</li>
<li>Goal conflicts between economic and sustainability logic</li>
</ul>"
"Question:<br />
How does Stakeholder Monitoring affect Corporate Sustainability Communication?"	Intensive monitoring amplifies both the positive effects of moderate Corporate Sustainability Communication and the negative effects of overcommunication.
"True or false:<br />
More communication about sustainability (Corporate Sustainability Talk) always leads to more implementation (Corporate Sustainability Walk)."	"False:<br>
Corporate Sustainability Communication shows an inverse U-shaped relationship: up to a point, talk promotes action, beyond that, overcommunication may hinder implementation."
"Question:<br />
What is the significance of tensions for digital technologies in relation to sustainability?"	Digital technologies are not neutral: they can both promote and hinder sustainability. Effective tension management is therefore crucial for real impact.
"True or false:<br />
Digital Product Passports promote only ecological goals and have no negative consequences."	"False:<br>
They may also cause negative social and economic effects, such as job losses or data privacy issues."
"True or false:<br />
Strategic Corporate Social Responsibility is based on a normative, morally motivated understanding of CSR."	"False:<br>
Strategic Corporate Social Responsibility follows a positivist, causal-analytical conceptual approach in which only empirically proven mechanisms are considered."
"True or false:<br />
Strategic Corporate Social Responsibility is defined as any CSR measure that has positive social effects."	"False:<br>
Strategic Corporate Social Responsibility includes only those CSR activities that have a causal positive impact on a company's financial performance."
"Question:<br />
How does the impact of digital transformation on ESG differ across industrial sectors?"	It is more pronounced in less environmentally harmful industries than in heavily polluting industries.
"True or false:<br />
Digital transformation has the same impact on ESG at all stages of a company."	"False:<br>
The effect is strongest in the maturity phase, weaker during growth and recession."
"True or false:<br />
Digital transformation affects ESG performance equally regardless of external conditions."	"False:<br>
The impact of digital transformation on ESG performance is moderated by external factors such as formal and informal environmental regulations, with informal ones having a stronger effect."
"Question:<br />
What does the term 'Dual Environmental Regulation' describe in the context of ESG research?"	It describes the simultaneous influence of formal (legally anchored) and informal (socially driven) environmental regulations on corporate behavior.
"Question:<br />
How is Community-Driven Regulation implemented in Dual Environmental Regulation?"	"<ul>
<li>Raising awareness for environmental pollution</li>
<li>Education for action</li>
</ul>"
"Question:<br />
How is Government-Driven Regulation implemented in Dual Environmental Regulation?"	"<ul>
<li>Incentives</li>
<li>Regulations</li>
</ul>"
"Question:<br />
What are tools for Corporate Sustainable Performance Monitoring?"	"<ul>
<li>ESG Rating</li>
<li>GRI Standards</li>
<li>SDG Alignment</li>
</ul>"
"True or false:<br />
Financial Materiality considers the financial costs caused by environmental damage or social influences that an organization generates."	"False:<br>
Financial Materiality considers how the environment, specifically ESG-related issues, and society affect a company’s finances and value."
"True or false:<br />
Financial Materiality is influenced by external environmental issues."	True
"True or false:<br />
Impact Materiality is influenced by external environmental issues."	"False:<br>
Impact Materiality considers the impacts of an organization on the environment and society."
"True or false:<br />
Double Materiality considers Financial Materiality and Value Materiality."	"False:<br>
Double Materiality considers Financial Materiality and Impact Materiality."
"Example:<br />
Digitisation"	"<ul>
<li>Use of digital invoices</li>
<li>Conversion of printed magazines into digital magazines</li>
</ul>"
"True or false:<br />
Economic sustainability is the most important dimension for the success of digital transformation."	"False:<br />
Not only economic sustainability, but also assessment along the Triple Bottom Line (economic, social, environmental) is necessary."
"Question:<br />
What does SDG 1 'No Poverty' mean?"	It means ending poverty in all its forms everywhere.
"Question:<br />
What does SDG 2 'Zero Hunger' mean?"	It means ending hunger, achieving food security and improved nutrition, and promoting sustainable agriculture.
"Question:<br />
What does SDG 3 'Good Health and Well-being' mean?"	It means ensuring healthy lives and promoting well-being for all at all ages.
"Question:<br />
What does SDG 4 'Quality Education' mean?"	It means ensuring inclusive, equitable, and quality education and promoting lifelong learning opportunities for all.
"Question:<br />
What does SDG 5 'Gender Equality' mean?"	It means achieving gender equality and empowering all women and girls.
"Question:<br />
What does SDG 6 'Clean Water and Sanitation' mean?"	It means ensuring availability and sustainable management of water and sanitation for all.
"Question:<br />
What does SDG 7 'Affordable and Clean Energy' mean?"	It means ensuring access to affordable, reliable, sustainable, and modern energy for all.
"Question:<br />
What does SDG 8 'Decent Work and Economic Growth' mean?"	It means promoting sustained, inclusive, and sustainable economic growth, full and productive employment, and decent work for all.
"Question:<br />
What does SDG 9 'Industry, Innovation and Infrastructure' mean?"	It means building resilient infrastructure, promoting inclusive and sustainable industrialization, and fostering innovation.
"Question:<br />
What does SDG 10 'Reduced Inequality' mean?"	It means reducing inequality within and among countries.
"Question:<br />
What does SDG 11 'Sustainable Cities and Communities' mean?"	It means making cities and human settlements inclusive, safe, resilient, and sustainable.
"Question:<br />
What does SDG 12 'Responsible Consumption and Production' mean?"	It means ensuring sustainable consumption and production patterns.
"Question:<br />
What does SDG 13 'Climate Action' mean?"	It means taking urgent action to combat climate change and its impacts.
"Question:<br />
What does SDG 14 'Life Below Water' mean?"	It means conserving and sustainably using the oceans, seas, and marine resources for sustainable development.
"Question:<br />
What does SDG 15 'Life on Land' mean?"	It means protecting, restoring, and promoting sustainable use of terrestrial ecosystems, managing forests sustainably, combating desertification, halting and reversing land degradation, and halting biodiversity loss.
"Question:<br />
What does SDG 16 'Peace, Justice and Strong Institutions' mean?"	It means promoting peaceful and inclusive societies for sustainable development, providing access to justice for all, and building effective, accountable, and inclusive institutions at all levels.
"Question:<br />
What does SDG 17 'Partnerships for the Goals' mean?"	It means strengthening the means of implementation and revitalizing the global partnership for sustainable development.
"True or false:<br />
SDG 1 addresses only absolute poverty, not relative poverty."	"False:<br />
SDG 1 addresses both absolute and relative poverty, including social protection systems."
"True or false:<br />
SDG 2 does not overlap with SDG 12, as it only focuses on hunger and food security."	"False:<br />
SDG 2 and SDG 12 overlap in the area of sustainable agricultural production and consumption patterns."
"True or false:<br />
SDG 3 focuses exclusively on combating diseases in developing countries."	"False:<br />
SDG 3 applies globally and includes strengthening health systems, prevention, and well-being in all countries."
"True or false:<br />
SDG 4 only includes access to basic education, not higher education."	"False:<br />
SDG 4 includes all levels of education, including higher education, technical education, and lifelong learning."
"True or false:<br />
SDG 5 concerns only gender equality in education."	"False:<br />
SDG 5 includes all forms of gender equality, including in the economy, politics, society, and protection from violence."
"True or false:<br />
SDG 6 refers exclusively to access to drinking water and excludes sanitation."	"False:<br />
SDG 6 includes both access to clean drinking water and sanitation and hygiene services."
"True or false:<br />
SDG 7 also targets the expansion of renewable energy, not just energy access."	True
"True or false:<br />
SDG 8 refers exclusively to economic growth in developing countries."	"False:<br />
SDG 8 applies globally and addresses economic growth and decent work in all countries."
"True or false:<br />
SDG 8 is not connected to SDG 9, since economic growth and industry are separate goals."	"False:<br />
SDG 8 (economic growth) and SDG 9 (industry, innovation, infrastructure) are closely linked, as industrialization promotes economic growth."
"True or false:<br />
SDG 9 aims to promote innovation exclusively in the technology sector."	"False:<br />
SDG 9 promotes innovation in all sectors, including infrastructure and sustainable industrialization."
"True or false:<br />
SDG 10 only calls for reducing income inequality within countries, not between countries."	"False:<br />
SDG 10 addresses inequality both within and between countries."
"True or false:<br />
SDG 11 also includes improving urban settlements in rural areas."	True
"True or false:<br />
SDG 12 includes measures to promote sustainable tourism."	True
"True or false:<br />
SDG 13 only calls for reducing CO2 emissions without addressing climate adaptation."	"False:<br />
SDG 13 includes both mitigation and adaptation measures to address climate change impacts."
"True or false:<br />
SDG 14 refers to the sustainable use of terrestrial ecosystems."	"False:<br />
SDG 14 focuses on oceans, seas, and marine resources; terrestrial ecosystems are addressed in SDG 15."
"True or false:<br />
SDG 15 exclusively covers forest protection."	"False:<br />
SDG 15 addresses all terrestrial ecosystems, including deserts, soils, biodiversity, and land degradation."
"True or false:<br />
SDG 16 includes measures against corruption and bribery."	True
"True or false:<br>
SDG 17 includes concrete targets for international cooperation in technology transfer."	True
"True or false:<br />
SDG 17 focuses solely on financing sustainable development."	"False:<br>
SDG 17 includes not only financing but also technology, capacity building, trade, and partnerships to implement all goals."
"Example:<br />
Economic sustainability"	"<ul>
<li>Process virtualization</li>
</ul>"
"Example:<br />
Social sustainability"	"<ul>
<li>Human rights</li>
<li>Improving healthcare in rural areas through telemedicine</li>
<li>Reducing inequalities</li>
</ul>"
"Question:<br />
What is the critique of existing Information Systems research on digital transformation in relation to sustainability?"	That it focuses too heavily on economic sustainability while neglecting social and environmental sustainability, even though these are essential for holistic transformation.
