#separator:tab
#html:true
"<p>{{c1::Control Strategy}} besteht aus:</p>
<ul>
<li>{{c2::Laissez-Faire Control}}</li>
<li>{{c2::Preemptive Control}}</li>
<li>{{c2::Stewardship Control}}</li>
</ul>"	
"wahr oder falsch:<br />
Strategic Corporate Social Responsibility ist definiert als jegliche Corporate Social Responsibility-Maßnahme, die positive gesellschaftliche Effekte erzielt."	"falsch:<br />
Strategic Corporate Social Responsibility umfasst nur jene Corporate Social Responsibility-Aktivitäten, die einen kausalen positiven Einfluss auf die finanzielle Performance eines Unternehmens haben."
{{c1::Strategic Corporate Social Responsibility (Strategic CSR)}} ist {{c2::ein Teilbereich der Corporate Social Responsibility, in welcher die wert-generierende Corporate Social Responsibility von der nicht-strategischen Corporate Social Responsibility gentrennt wird}}.	
{{c1::Die ESG Performance}} ist {{c2::die Messung der ESG-Aktivitäten durch den Bloomberg ESG Score}}.	
"Frage:<br />
Wie unterscheidet sich der Einfluss digitaler Transformation auf ESG in Industriebranchen?"	Er ist in weniger umweltbelastenden Branchen stärker ausgeprägt als in stark umweltbelastenden Branchen.
"wahr oder falsch:<br />
Die digitale Transformation wirkt in allen Unternehmensphasen gleich stark auf ESG."	"falsch:<br />
Der Effekt ist am stärksten in der Reifephase, schwächer im Wachstum und in der Rezession."
"wahr oder falsch:<br />
Digitale Transformation wirkt sich unabhängig von äußeren Rahmenbedingungen gleich stark auf ESG-Performance aus."	"falsch:<br />
Der Einfluss digitaler Transformation auf ESG-Performance wird durch externe Faktoren wie formale und informelle Umweltregulierungen moderiert, wobei informelle eine stärkere Wirkung haben."
Es existiert eine Korrelation zwischen {{c1::digitaler Transformation}} und {{c2::ESG Performance}}, in welcher eine höhere digitale Transformation die ESG Performance erhöht. Eine {{c3::gesellschaftlich-getriebene Regulatorik}} treibt dabei die digitale Transformation stärker an, als eine {{c3::staatlich-getriebene Regulatorik}}.	
"Frage:<br />
Was beschreibt der Begriff ""Dual Environmental Regulation"" im Kontext der ESG-Forschung?"	Er beschreibt das gleichzeitige Wirken formaler (gesetzlich verankerter) und informeller (sozial getriebener) Umweltregulierungen auf das Verhalten von Unternehmen.
"Frage:<br />
Wie wird Community-Driven Regulation in der Dual Environmental Regulation umgesetzt?"	"<ul>
<li>Awareness für Umweltverschmutzung</li>
<li>Bildung für Maßnahmen</li>
</ul>"
"Frage:<br />
Wie wird Government-Driven Regulation in der Dual Environmental Regulation umgesetzt?"	"<ul>
<li>Anreize</li>
<li>Regulatoriken</li>
</ul>"
{{c1::Die Dual Environmental Regulation}} ist {{c2::die formelle (von einer Regierung angetriebene) und die informelle (von einer Gesellschaft angetriebene) Regulierung der Umwelt}}.	
Es existiert eine Korrelation zwischen {{c1::Umweltbilanz}} und {{c2::finanziellen Erfolg}}, in welcher {{c3::eine niedrigere CO2-Bilanz}} zu einem {{c3::höheren Return of Assets und Tobin's Q}} führt.	
{{c1::Die Instrumental Stakeholder Theory}} ist {{c2::eine Theorie, dass Organisationen einen Vorteil besitzen, wenn diese mit Stakeholdern zusammenarbeiten}}.	
{{c1::Corporate Digital Innovative Performance}} ist {{c2::die Fähigkeit eines Unternehmens, digitale Technologien zu nutzen, um neue Produkte, Dienstleistungen, Prozesse oder Geschäftsmodelle zu entwickeln}}.	
"<p>{{c1::Die Corporate Digital Innovative Performance}} kann gemessen werden durch:</p>
<ul>
<li>{{c2::Einnahmen aus digitalen Kanälen}}</li>
<li>{{c3::Geschwindigkeit und Umfang der digitalen Einführung}}</li>
<li>{{c4::Grad der digitalen Kundenbindung}}</li>
<li>{{c5::Investitionen in die Forschung von digitalen Technologien}}</li>
<li>{{c6::neue digitale Produkte oder Dienstleistungen, die auf den Markt gebracht wurden}}</li>
<li>{{c7::Nummer an Projekten mit Bezug zur Digitalisierung und Technologien}}</li>
<li>{{c8::Patente im Zusammenhang mit digitaler Innovation}}</li>
</ul>"	
"<p>Die Corporate Digital Innovative Performance besteht aus:</p>
<ul>
<li>{{c1::Digitalisierung interner Prozesse}}</li>
<li>{{c1::Einführung neuer Technologien}}</li>
<li>{{c1::Initiativen zur digitalen Transformation}}</li>
</ul>"	
"Frage:<br />
Was sind Tools für das Corporate Sustainable Performance Monitoring?"	"<ul>
<li>ESG Rating</li>
<li>GRI Standards</li>
<li>SDG Alignment</li>
</ul>"
{{c1::Corporate Sustainable Performance}} ist {{c2::die Fähigkeit eines Unternehmens, seine Werte im Bereich ESG zu überwachen, wahrzunehmen und gleichzeitig finanziellen Erfolg zu erzielen}}.	
"<p>Die Corporate Sustainable Performance kann gemessen werden durch:</p>
<ul>
<li>{{c1::Governance-Kennzahlen}}</li>
<li>{{c1::sozialen Kennzahlen}}</li>
<li>{{c1::Umweltkennzahlen}}</li>
</ul>"	
Im Rahmen der Planetary Boundaries und in Bezug zu der Resource-Based View müssen {{c1::natürliche Ressourcen}} {{c2::limitiert}} werden, um {{c3::innovative Ressourceneffizienz zu erzwingen}}. {{c3::Die Ressourceneffizienz}} kann durch digitale Technologien unterstützt werden.	
Im Rahmen der Planetary Boundaries und in Bezug zu der Stakeholder-Theorie muss {{c1::die Umwelt}} als {{c2::ein Stakeholder}} berücksichtigt werden. Ebenfalls muss es ein Anliegen {{c2::der bestehenden Stakeholder}} sein, {{c1::die Umwelt}} als {{c2::Stakeholder}} zu berücksichtigen.	
"wahr oder falsch:<br />
Die Financial Materiality betrachtet, welche finanziellen Kosten auftreten, die durch Umweltschäden oder Gesellschaftseinflüsse entstehen, die eine Organisation verursacht."	"falsch:<br />
Financial Materiality betrachtet, wie die Umwelt, spezifisch Probleme in Bezug zu den ESG, und die Gesellschaft die Finanzen und den Wert einer Organisation beeinflussen."
"wahr oder falsch:<br />
Die Financial Materiality wird von externen Umweltproblemen beeinflusst."	wahr
{{c1::Financial Materiality}} ist {{c2::eine Dimension der Double Materiality, wie die Umwelt, spezifisch Probleme in Bezug zu den ESGs und die Gesellschaft die Finanzen und den Wert einer Organisation beeinflussen}}.	
"wahr oder falsch:<br />
Die Impact Materiality wird von externen Umweltproblemen beeinflusst."	"falsch:<br />
Bei der Impact Materiality werden die Einflüsse einer Organistaion auf die Umwelt und Gesellschaft betrachtet."
{{c1::Impact Materiality}} ist {{c2::eine Dimension der Double Materiality, wie eine Organisation die Umwelt und die Gesellschaft beeinflusst}}.	
"wahr oder falsch:<br />
Die Double Materiality betrachtet die Financial Materiality und die Value Materiality."	"falsch:<br />
Die Double Materiality betrachtet die Financial Materiality und die Impact Materiality."
{{c1::Double Materiality (doppelte Wesentlichkeit)}} ist {{c2::ein Konzept des Nachhaltigkeits-Reporting, welches die Dimensionen der Financial Materiality und der Impact Materiality inkludiert}}.	
"<p>Herausforderungen von Digital Innovation in Bezug zu Nachhaltigkeit sind:</p>
<ul>
<li>{{c1::Abhängigkeiten}}</li>
<li>{{c1::Datenschutz und Sicherheit}}</li>
<li>{{c1::Digital Divide}}</li>
<li>{{c1::E-Waste}}</li>
<li>{{c1::Ressourcenintensität}}</li>
</ul>"	
"Beispiel:<br />
Digitalisation"	"<ul>
<li>Nutzung von digitalen Rechnungen</li>
<li>Umwandlung von gedruckten Zeitschriften in digitale Zeitschriften</li>
</ul>"
{{c1::Digitisation (Digitiztation)}} ist {{c2::die Umwandlung von analogen Informationen in digitalen Informationen}}.	
{{c1::Eine Sustainable Business Model Innovation}} ist {{c2::das Redesign eines Businessmodells zur Integration von Aspekten der Nachhaltigkeit in das Businessmodell}}. Der Fokus in {{c1::der Sustainable Business Model Innovation}} verschiebt sich dadurch von {{c3::einer linearen Value Creation}} zu {{c3::einer regenerativen Value Creation}}, wodurch dies zu {{c4::einem kompetitiven Vorteil}} wird.	
"<p>Die Sustainable Business Model Innovation besteht aus:</p>
<ul>
<li>{{c1::Integration der Kreislaufwirtschaft}}</li>
<li>{{c1::technologischer Nachhaltigkeit}}</li>
<li>{{c1::Verhaltensveränderungen}}</li>
</ul>"	
{{c1::Eine Doughnut Economy}} ist {{c2::ein Modell, in welchen Planetary Boundaries und soziale Aspekte verbunden werden}}. Dies bietet ein Framework für {{c3::nachhaltiges Decision-Making}}.	
"wahr oder falsch:<br />
Wirtschaftliche Nachhaltigkeit die wichtigste Dimension für den Erfolg digitaler Transformation dar."	"falsch:<br />
Nicht nur wirtschaftliche Nachhaltigkeit, sondern eine Bewertung entlang der Triple Bottom Line (ökonomisch, sozial, ökologisch) ist notwendig."
{{c1::Die Triple Bottom Line}} ist {{c2::ein Konzept, dass Organisationen nicht nur nach dem ökonomischen Einfluss, sondern auch nach dem sozialen Einfluss und ökologischen Einfluss gemessen werden sollen}}.	
Im Rahmen {{c1::der Tripe Bottom Line}} müssen Organisationen {{c2::CO2-Neutralität}}, {{c2::den Schutz von Biodiversität}} und {{c2::Prinzipien der Circular Economy}} in ihr Business Model integrieren.	
{{c1::Die Shareholder-Theorie}} ist {{c2::eine Theorie, dass eine Organisation die Interessen der Shareholder berücksichtigen muss}}.	
{{c1::Die Stakeholder-Theorie}} ist {{c2::eine Theorie, dass eine Organisation alle Interessen der Stakeholder berücksichtigen muss}}.	
{{c1::Planetary Boundaries}} sind {{c2::neun festgelegte Grenzen, welche, bei Überschreitung einen irreversiblen Umweltschaden erzeugen würden}}.	
"<p>Die Planetary Boundaries bestehen aus:</p>
<ul>
<li>{{c1::Aerosolbelastung der Atmosphäre}}</li>
<li>{{c2::Biodiversität}}</li>
<li>{{c3::biogeochemische Flüsse (Stickstoff und Phosphor)}}</li>
<li>{{c4::chemische Verunreinigung}}</li>
<li>{{c5::Frischwasser-Verfügbarkeit}}</li>
<li>{{c6::Klimawandel}}</li>
<li>{{c7::neue Stoffe (Schadstoffe, Kunststoffe etc.)}}</li>
<li>{{c8::Ozon-Schicht}}</li>
<li>{{c9::Veränderung der Landsysteme}}</li>
<li>{{c10::Versäuerung der Ozeane}}</li>
</ul>"	
{{c1::Digital Sustainability}} ist {{c2::eine Menge an Aktivitäten, die durch Technologie das Sustainable Development fördern}}.	
{{c1::Das ESG (Environmental Social Governance)}} ist {{c2::ein Framework zur Evaluierung der Nachhaltigkeit von Organisationen}}.	
"<p>Interne Driver von Sustainable Development sind:</p>
<ul>
<li>{{c1::Invention und Wachstum}}</li>
<li>{{c1::Kostenreduktion}}</li>
<li>{{c1::nachhaltiges Bestehen des Business Model}}</li>
<li>{{c1::Risikomanagement}}<br />
{{c1::<img src=""2025-Bild-Puechel-Internal_and_External_Drivers_fo_Sustainable_Development.png"" alt=""""><br />
Internal and External Drivers of Sustainable Development}}</li>
</ul>"	
"<p>Externe Driver von Sustainable Development sind:</p>
<ul>
<li>{{c1::Brand Reputation}}</li>
<li>{{c1::Marktnachfrage}}</li>
<li>{{c1::Regulationen}}</li>
<li>{{c1::Stakeholder-Erwartungen}}<br />
{{c1::<img src=""2025-Bild-Puechel-Internal_and_External_Drivers_fo_Sustainable_Development.png"" alt=""""><br />
Internal and External Drivers of Sustainable Development}}</li>
</ul>"	
"{{c1::Der Sustainable Development Goal Compass (SDG Compass)}} ist {{c2::ein Framework für Unternehmen, das es ermöglicht, Nachhaltigkeit in den Mittelpunkt ihrer Geschäftsstrategie zu rücken}}. {{c1::Der SDG Compass}} unterstützt Unternehmen, {{c2::ihre Strategien an den SDGs auszurichten und ihre Beiträge zu messen und zu verwalten}}.<br />
{{c1::{{c2::<img src=""2015-BIld-Sustainable_Development_Goal_Compass.png"" alt=""""><br />
Sustainable Development Goal Compass}}}}"	
"<p>{{c6::Der SDG Compass}} besteht aus mehreren Schritten:</p>
<ol>
<li>{{c1::Understanding the SDGs}}: {{c1::Unternehmen lernen die SDGs kennen}}.</li>
<li>{{c2::Defining Priorities}}: {{c2::Unternehmen definieren ihre Prioritäten basierend auf einer Bewertung ihrer positiven und negativen, aktuellen und potenziellen Auswirkungen auf die SDGs entlang ihrer Wertschöpfungsketten}}.</li>
<li>{{c3::Setting Goals}}: {{c3::Unternehmen setzen Ziele, die mit den SDGs in Einklang stehen, um die Führungsebene zu verpflichten und die Leistung im gesamten Unternehmen zu verbessern}}.</li>
<li>{{c4::Integrating}}: {{c4::Nachhaltigkeit wird in das Kerngeschäft und die Unternehmensführung integriert sowie in alle Unternehmensfunktionen eingebettet. Unternehmen engagieren sich zunehmend in Partnerschaften zur Verfolgung gemeinsamer Ziele oder zur Bewältigung systemischer Herausforderungen}}.</li>
<li>{{c5::Reporting and Communicating}}: {{c5::Unternehmen nutzen die SDGs, um Informationen über ihre Nachhaltigkeitsleistung mit gemeinsamen Indikatoren und Prioritäten zu berichten und in ihre Kommunikation mit Stakeholdern einzubeziehen}}.</li>
</ol>"	
{{c1::Green IS}} ist {{c2::die Reduzierung von ökologischen Einflüssen durch die Nutzung von IT zu Erreichung von Nachhaltigkeitszielen}}.	
{{c1::Green IT}} ist {{c2::die Reduzierung von ökologischen Einflüssen durch IT zur nachhaltigen Nutzung von Ressourcen, Energie, durch die Reduzierung von Emissionen und das Recycling}}.	
"<p>Green IT entsteht durch:</p>
<ul>
<li>{{c1::Lebenszyklusmanagement von Geräten}}</li>
<li>{{c1::umweltfreundliches Rechenzentrumsmanagement}}</li>
<li>{{c2::umweltfreundliche Softwareentwicklung}}</li>
<li>{{c2::Virtualisierung und Optimierung von Cloud-Computing}}</li>
</ul>"	
"Frage:<br />
Was bedeutet der SDG 1 ""No Poverty""?"	Es bedeutet, Armut in allen ihren Formen und überall zu beenden.
"Frage:<br />
Was bedeutet der SDG 2 ""Zero Hunger""?"	Es bedeutet, den Hunger zu beenden, Ernährungssicherheit und eine bessere Ernährung zu erreichen sowie eine nachhaltige Landwirtschaft zu fördern.
"Frage:<br />
Was bedeutet der SDG 3 ""Good Health and Well-being""?"	Es bedeutet, ein gesundes Leben für alle Menschen jeden Alters zu gewährleisten und ihr Wohlergehen zu fördern.
"Frage:<br />
Was bedeutet der SDG 4 ""Quality Education""?"	Es bedeutet, inklusive, gleichberechtigte und hochwertige Bildung zu gewährleisten und Möglichkeiten des lebenslangen Lernens für alle zu fördern.
"Frage:<br />
Was bedeutet der SDG 5 ""Gender Equality""?"	Es bedeutet, Geschlechtergleichstellung zu erreichen und alle Frauen und Mädchen zur Selbstbestimmung zu befähigen.
"Frage:<br />
Was bedeutet der SDG 6 ""Clean Water and Sanitation""?"	Es bedeutet, Verfügbarkeit und nachhaltige Bewirtschaftung von Wasser und Sanitärversorgung für alle zu gewährleisten.
"Frage:<br />
Was bedeutet der SDG 7 ""Affordable and Clean Energy""?"	Es bedeutet, Zugang zu bezahlbarer, verlässlicher, nachhaltiger und moderner Energie für alle zu sichern.
"Frage:<br />
Was bedeutet der SDG 8 ""Decent Work and Economic Growth""?"	Es bedeutet, dauerhaftes, inklusives und nachhaltiges Wirtschaftswachstum, produktive Vollbeschäftigung und menschenwürdige Arbeit für alle zu fördern.
"Frage:<br />
Was bedeutet der SDG 9 ""Industry, Innovation and Infrastructure""?"	Es bedeutet, eine widerstandsfähige Infrastruktur aufzubauen, inklusive und nachhaltige Industrialisierung zu fördern und Innovationen zu unterstützen.
"Frage:<br />
Was bedeutet der SDG 10 ""Reduced Inequality""?"	Es bedeutet, Ungleichheit innerhalb von und zwischen Staaten zu verringern.
"Frage:<br />
Was bedeutet der SDG 11 ""Sustainable Cities and Communities""?"	Es bedeutet, Städte und Siedlungen inklusiv, sicher, widerstandsfähig und nachhaltig zu gestalten.
"Frage:<br />
Was bedeutet der SDG 12 ""Responsible Consumption and Production""?"	Es bedeutet, nachhaltige Konsum- und Produktionsmuster sicherzustellen.
"Frage:<br />
Was bedeutet der SDG 13 ""Climate Action""?"	Es bedeutet, umgehend Maßnahmen zur Bekämpfung des Klimawandels und seiner Auswirkungen zu ergreifen.
"Frage:<br />
Was bedeutet der SDG 14 ""Life Below Water""?"	Es bedeutet, Ozeane, Meere und Meeresressourcen im Sinne nachhaltiger Entwicklung zu erhalten und nachhaltig zu nutzen.
"Frage:<br />
Was bedeutet der SDG 15 ""Life on Land""?"	Es bedeutet, Landökosysteme zu schützen, wiederherzustellen und ihre nachhaltige Nutzung zu fördern, Wälder nachhaltig zu bewirtschaften, Wüstenbildung zu bekämpfen sowie Landdegradation zu stoppen und umzukehren und den Biodiversitätsverlust zu beenden.
"Frage:<br />
Was bedeutet der SDG 16 ""Peace, Justice and Strong Institutions""?"	Es bedeutet, friedliche und inklusive Gesellschaften für nachhaltige Entwicklung zu fördern, allen Menschen Zugang zur Justiz zu ermöglichen und effektive, rechenschaftspflichtige und inklusive Institutionen auf allen Ebenen aufzubauen.
"Frage:<br />
Was bedeutet der SDG 17 ""Partnerships for the Goals""?"	Es bedeutet, die Umsetzungsmittel zu stärken und die globale Partnerschaft für nachhaltige Entwicklung mit neuem Leben zu füllen.
"wahr oder falsch:<br />
SDG 1 behandelt nur absolute Armut, nicht relative Armut."	"falsch:<br />
SDG 1 adressiert sowohl absolute als auch relative Armut, einschließlich sozialer Absicherungssysteme."
"wahr oder falsch:<br />
SDG 2 hat keine Überschneidungen mit SDG 12, da es sich nur um Hunger und Ernährungssicherheit kümmert."	"falsch:<br />
SDG 2 und SDG 12 überschneiden sich im Bereich nachhaltiger landwirtschaftlicher Produktions- und Konsummuster."
"wahr oder falsch:<br />
SDG 3 fokussiert ausschließlich auf Bekämpfung von Krankheiten in Entwicklungsländern."	"falsch:<br />
SDG 3 gilt global und beinhaltet Gesundheitssystemstärkung, Prävention und Wohlergehen in allen Ländern."
"wahr oder falsch:<br />
SDG 4 beinhaltet nur den Zugang zu Grundbildung und keine Hochschulbildung."	"falsch:<br />
SDG 4 umfasst alle Bildungsstufen, inklusive Hochschulbildung, technischer Bildung und lebenslangem Lernen."
"wahr oder falsch:<br />
SDG 5 betrifft ausschließlich die Gleichstellung von Frauen und Männern im Bildungswesen."	"falsch:<br />
SDG 5 umfasst alle Formen der Geschlechtergleichstellung, auch in Wirtschaft, Politik, Gesellschaft sowie Schutz vor Gewalt."
"wahr oder falsch:<br />
SDG 6 bezieht sich ausschließlich auf den Zugang zu Trinkwasser und schließt sanitäre Einrichtungen aus."	"falsch:<br />
SDG 6 umfasst sowohl den Zugang zu sauberem Trinkwasser als auch zu sanitären Einrichtungen und Hygienediensten."
"wahr oder falsch:<br />
SDG 7 zielt auch auf den Ausbau erneuerbarer Energien ab, nicht nur auf Zugang zu Energie."	wahr
"wahr oder falsch:<br />
SDG 8 bezieht sich ausschließlich auf Wirtschaftswachstum in Entwicklungsländern."	"falsch:<br />
SDG 8 gilt global und adressiert Wirtschaftswachstum sowie menschenwürdige Arbeit in allen Ländern."
"wahr oder falsch:<br />
SDG 8 ist nicht mit SDG 9 verbunden, da Wirtschaftswachstum und Industrie getrennte Ziele sind."	"falsch:<br />
SDG 8 (Wirtschaftswachstum) und SDG 9 (Industrie, Innovation, Infrastruktur) sind eng verknüpft, da Industrialisierung Wirtschaftswachstum fördert."
"wahr oder falsch:<br />
SDG 9 zielt darauf ab, Innovationen ausschließlich im Technologiesektor zu fördern."	"falsch:<br />
SDG 9 fördert Innovationen in allen Sektoren, einschließlich Infrastruktur und nachhaltiger Industrialisierung."
"wahr oder falsch:<br />
SDG 10 fordert die Reduzierung von Einkommensungleichheit innerhalb von Ländern, nicht jedoch zwischen Ländern."	"falsch:<br />
SDG 10 adressiert sowohl Ungleichheiten innerhalb von Ländern als auch zwischen Ländern."
"wahr oder falsch:<br />
SDG 11 behandelt auch die Verbesserung von städtischen Siedlungen in ländlichen Gebieten."	wahr
"wahr oder falsch:<br />
SDG 12 beinhaltet Maßnahmen, um nachhaltigen Tourismus zu fördern."	wahr
"wahr oder falsch:<br />
SDG 13 fordert ausschließlich die Verringerung von CO-Emissionen, ohne auf Anpassungsmaßnahmen an den Klimawandel einzugehen."	"falsch:<br />
SDG 13 beinhaltet sowohl Maßnahmen zur Minderung von Emissionen als auch Anpassungsmaßnahmen an die Folgen des Klimawandels."
"wahr oder falsch:<br />
SDG 14 bezieht sich auf die nachhaltige Nutzung von Landökosystemen."	"falsch:<br />
SDG 14 betrifft Ozeane, Meere und Meeresressourcen; Landökosysteme werden in SDG 15 behandelt."
"wahr oder falsch:<br />
SDG 15 behandelt ausschließlich den Schutz von Wäldern."	"falsch:<br />
SDG 15 betrifft alle Landökosysteme, einschließlich Wüsten, Böden, Biodiversität und Landdegradation."
"wahr oder falsch:<br />
SDG 16 beinhaltet Maßnahmen gegen Korruption und Bestechung."	wahr
"wahr oder falsch:<br />
SDG 17 enthält konkrete Zielvorgaben für die internationale Zusammenarbeit im Technologietransfer."	wahr
"wahr oder falsch:<br />
SDG 17 fokussiert sich ausschließlich auf die Finanzierung nachhaltiger Entwicklung."	"falsch:<br />
SDG 17 umfasst neben Finanzierung auch Technologie, Kapazitätsaufbau, Handel und Partnerschaften zur Umsetzung aller Ziele."
{{c1::Sustainable Development Goals (SDG)}} sind {{c2::17 Punkte, welche von den vereinten Nationen festgelegt wurden, um globale Nachhaltigkeit bis 2030 zu erreichen}}.	
"<p>Die Sustainable Development Goals bestehen aus:</p>
<ol>
<li>{{c1::No Poverty}}</li>
<li>{{c2::Zero Hunger}}</li>
<li>{{c3::Good Health and Well-being}}</li>
<li>{{c4::Quality Education}}</li>
<li>{{c5::Gender Equality}}</li>
<li>{{c6::Clean Water and Sanitation}}</li>
<li>{{c7::Affordable and Clean Energy}}</li>
<li>{{c8::Decent Work and Economic Growth}}</li>
<li>{{c9::Industry, Innovation and Infrastructure}}</li>
<li>{{c10::Reduced Inequality}}</li>
<li>{{c11::Sustainable Cities and Communities}}</li>
<li>{{c12::Responsible Consumption and Production}}</li>
<li>{{c13::Climate Action}}</li>
<li>{{c14::Life Below Water}}</li>
<li>{{c15::Life on Land}}</li>
<li>{{c16::Peace, Justice and Strong Institutions}}</li>
<li>{{c17::Partnerships for the Goals}}</li>
</ol>"	
"<p>{{c1::Nachhaltigkeit}} besteht aus:</p>
<ul>
<li>{{c2::ökologische Nachhaltigkeit}}</li>
<li>{{c2::ökonomische Nachhaltigkeit}}</li>
<li>{{c2::soziale Nachhaltigkeit}}<br />
{{c1::{{c2::<img src=""2025-Bild-Puechel-Conceptions_of_Sustainabilities.png"" alt=""""><br />
Konzepte der Nachhaltigkeit}}}}</li>
</ul>"	
{{c1::Sustainable Development}} ist {{c2::die Praxis zur Erreichung von Nachhaltigkeit durch Aktivitäten}}.	
"Beispiel:<br />
wirtschaftliche Nachhaltigkeit"	"<ul>
<li>Prozessvirtualisierung</li>
</ul>"
{{c1::Wirtschaftliche Nachhaltigkeit (Economic Sustainability)}} ist {{c2::die Nachhaltigkeit durch langfristiges Wachstum}}.	
"Beispiel:<br />
soziale Nachhaltigkeit"	"<ul>
<li>Menschenrechte</li>
<li>Steigerung des Gesundheitswesen in ländlichen Gegenden durch Tele-Medizin</li>
<li>Ungleichheiten reduzieren</li>
</ul>"
{{c1::Soziale Nachhaltigkeit (Social Sustainability)}} ist {{c2::die Nachhaltigkeit durch die Entwicklung von sozialen Strukturen, ohne zukünftige Generationen damit zu beeinträchtigen}}.	
{{c1::Eine Balanced Scorecard (BSC)}} ist {{c2::ein Konzept zur Messung, Dokumentation und Steuerung der Aktivitäten in einer Organisation}}.	
Bestandteile der Balanced Scorecard sind {{c1::durch Ursachen-Wirkungs-Ketten}} miteinander verknüpft und ermöglichen die Verfolgung von {{c2::vorlaufenden (Treiber) als auch nachlaufenden (Ergebnis) Indikatoren}}.	
"<p>{{c1::Eine Balanced Scorecard}} besteht aus:</p>
<ul>
<li>{{c2::Customer}}</li>
<li>{{c2::Financial}}</li>
<li>{{c2::Internal Process}}</li>
<li>{{c2::Learning and Growth}}</li>
</ul>"	
"{{c1::Ein indirekter Netzwerkeffekt}} ist {{c2::eine Netzwerkexternalität mit einer Wertsteigerung für bestimmte Nutzergruppen oder bestimmte Produkte bei steigender Nutzeranzahl und Nutzerqualität}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Puechel-Direkter_Netzwerkeffekt_und_indirekter_Netzwerkeffekt.png"" alt=""""><br />
Direkter Netzwerkeffekt und indirekter Netzwerkeffekt}}}}"	
"{{c1::Ein direkter Netzwerkeffekt}} ist {{c2::eine Netzwerkexternalität mit einer Wertsteigerung für alle Nutzer bei steigender Anzahl der Nutzer}}.<br>
{{c1::{{c2::<img src=""2025-Bild-Puechel-Direkter_Netzwerkeffekt_und_indirekter_Netzwerkeffekt.png"" alt=""""><br>
Direkter Netzwerkeffekt und indirekter Netzwerkeffekt}}}}"	
{{c1::Ökologische Nachhaltigkeit (Environmental Sustainability)}} ist {{c2::die Reduzierung des Konsums von natürlichen Ressourcen und die Steigerung der Gesundheit der Erde}}.	
{{c1::Kreislaufwirtschaft (Circular Economy Theory)}} ist {{c2::ein Modell, in welchem Güter wiederverwendet werden. In der Kreislaufwirtschaft liegt der Fokus auf Reduktion, Wiedernutzung und Recycling}}.	
"<p>{{c1::Faktoren der Kreislaufwirtschaft}} sind:</p>
<ul>
<li>{{c2::erweiterte Herstellerverantwortung}}</li>
<li>{{c2::Produkte/Materialien überflüssig machen}}</li>
<li>{{c2::Produktnutzung intensivieren}}</li>
<li>{{c2::Recycling}}</li>
<li>{{c2::Recht auf Reparatur &amp; Reparatur von Produkten}}</li>
<li>{{c2::Wiederverwertung von Teilen aus alten Produkten}}</li>
</ul>"	
{{c1::Digitalisierung}} ist {{c2::die Nutzung von digitalen Technologien zur Veränderung von Geschäftsmodellen}}.	
"Frage:<br />
Was ist die Kritik an bestehender Information Systems-Forschung zur digitalen Transformation in Bezug zu Nachhaltigkeit?"	Dass sie zu stark auf wirtschaftliche Nachhaltigkeit fokussiert ist und soziale sowie ökologische Nachhaltigkeit vernachlässigt, obwohl diese für eine ganzheitliche Transformation entscheidend sind.
{{c1::Die digitale Transformation}} ist {{c2::die Nutzung neuer digitaler Technologien, um wesentliche organisatorische Verbesserungen zu ermöglichen}}.	
{{c1::Der Skaleneffekt (Economies of Scale)}} ist {{c2::der Effekt die Senkung der Einzelkosten pro produziertes Gut bei Erhöhung der Produktion}}.	
{{c1::Der Skaleneffekt}} tritt auf, da {{c2::der Anteil an fixen Kosten im Vergleich zu den variablen Kosten bei steigender Produktion sinkt}}.	
{{c1::Die ressourcenbasierte Sicht (Resource-Based View)}} ist {{c2::eine Sicht der Strategie, welche davon ausgeht, dass ein kompetitiver Vorteil durch einzigartige Ressourcen erzeugt wird}}.	
{{c1::Digital Innovation}} ist {{c2::ein Gut, Prozess oder Geschäftsmodell}}, welches {{c3::als neu wahrgenommen wird}}, {{c3::fundamentale Änderungen beinhaltetet}} und {{c3::in oder durch IT verkörpert wird}}. {{c1::Digital Innovation}} erzeugen durch {{c4::Digitalisierung}} eine neue Form vom Wert.	
"<p>{{c1::Digital Innovation}} ist getrieben durch {{c2::Generativität}}, welche folgende Eigenschaften benötigt:</p>
<ul>
<li>{{c3::Homogenität der Daten}}</li>
<li>{{c3::Programmierbarkeit und Änderbarkeit}}</li>
<li>{{c3::aus sich selbst verweisend und aufbauend, meist in Ebenen}}</li>
</ul>"	
{{c1::Ein Lock-In-Effekt (Vendor Lock-In)}} ist {{c2::der erschwerte Systemwechsel durch produktpolitische oder marketingbasierte Maßnahmen}} durch {{c3::die Erhöhung der Kosten eines Systemwechsels}}.	
