#separator:tab
#html:true
"Frage:<br>
Welche drei Dimensionen sind beim Scoping einer Enterprise Architecture zu beachten?"	"<ul>
<li>Architecture Layer Scope: Betrachtete Architekturebenen</li>
<li>Enterprise Scope: Organisatorischer und geografischer Geltungsbereich</li>
<li>Vertical Scope: Detaillierungsgrad</li>
</ul>"
"Frage:<br />
Was ist das Ziel einer Gap-Analyse im EAM?"	Sie identifiziert Unterschiede zwischen der Ist-Architektur und Soll-Architektur, um notwendige Maßnahmen, Übergangsarchitekturen und Umsetzungsschritte zu planen.
"Frage:<br />
Was ist eine Gap-Analyse im EAM und wie funktioniert sie methodisch?"	Eine Gap-Analyse vergleicht Ist-Architektur und Soll-Architektur. Abweichungen werden identifiziert und in Maßnahmen für Transition Architectures überführt. Grundlage bilden Modellvergleiche entlang der Architekturebenen.
"Frage:<br />
Was sind typische Fragen der Gap-Analyse?"	"<ul>
<li>Welche Services müssen für die Soll-Architektur realisiert werden?</li>
<li>Wie könnten Übergangsarchitekturen zusammengesetzt sein?</li>
</ul>"
"wahr oder falsch:<br />
Eine Gap Analyse ist eine qualitative Analyse, die bei einem Modell durchgeführt wird."	"falsch:<br />
Die Gap Analyse wird bei mehreren Modellen durchgeführt."
"wahr oder falsch:<br />
Eine Gap Analyse ist eine qualitative Analyse, die bei mehreren Modellen durchgeführt wird."	wahr
{{c1::Eine Gap-Analyse}} ist {{c2::eine Funktionsanalyse über die Gaps zwischen dem Ist-Zustand und des Soll-Zustandes}}. {{c1::Eine Gap-Analyse}} ist {{c3::eine qualitative Analyse}}, die bei mehreren Modellen durchgeführt wird.	
"Frage:<br />
Was sind typische Fragen der Nutzenanalyse?"	"<ul>
<li>Welchen Beitrag leistet Projekt X zur Unterstützung der Unternehmensziele?</li>
</ul>"
{{c1::Eine Nutzenanalyse (Benefit Analysis)}} ist {{c2::eine Funktionsanalyse über die Beiträge von einzelnen Elementen zur Erreichung von Unternehmenszielen, basierend auf Berechnungen oder Schätzungen von Experten}}.	
"Frage:<br />
Was sind typische Fragen der Compliance-Analyse?"	"<ul>
<li>Wie viel Prozent der Komponenten entsprechen nicht den Anforderungen?</li>
<li>Wurde die Einhaltung gesetzlicher Bestimmungen oder Marktstandards sichergestellt?</li>
</ul>"
{{c1::Eine Compliance-Analyse}} ist {{c2::eine Funktionsanalyse über die Compliance sowie der Identifikation von Problemen im Bezug zur Compliance}}.	
"Frage:<br />
Was sind typische Fragen der Heterogenitätsanalyse?"	"<ul>
<li>Wie viele und welche Technologien werden pro Einsatzbereich verwendet?</li>
</ul>"
"Frage:<br />
Wie lassen sich Redundanzen in einer Heterogenitätsanalyse erkennen?"	Durch Identifikation mehrfach existierender, gleichartiger Komponenten mit unterschiedlicher Technologie oder überlappender Funktion (z. B. mehrere CRM-Systeme in verschiedenen Einheiten).
"{{c1::Die Heterogenitätsanalyse (Heterogeneity Analysis)}} ist {{c2::eine Funktionsanalyse zur Identifikation von Heterogenität von Komponenten und Strukturen zur Konsolidierung von Strukturen}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Kalla-Heterogenitaetsanalyse_im_Enterprise_Architecture_Modelling.png"" alt=""""><br />
Heterogenitätsanalyse im Enterprise Architecture Management}}}}"	
"Frage:<br />
Was ist das Ziel einer Interfaceanalyse in EAM-Modellen?"	In einer Interfaceanalyse werden Schnittstellen zwischen Komponenten, Services oder Prozessen untersucht, um potenzielle Komplexität, Redundanz oder Integrationsprobleme zu erkennen.
"Frage:<br />
Was sind typische Fragen der Abdeckungsanalyse?"	"<ul>
<li>Wie viele und welche Arten von Verbindungen bestehen zwischen den Komponenten?</li>
<li>Verhindern Schnittstellen die Aktualisierung eines Systems oder dessen Ersatz durch eine andere Lösung?</li>
</ul>"
"{{c1::Eine Interfaceanalyse (Interface Analysis)}} ist {{c2::eine Funktionsanalyse über die Interfaces zwischen Elementen eines Systems zur Maximierung der Kohäsion bei der Minimierung von Relationen}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Kalla-Interfaceanalyse_im_Enterprise_Architecture_Modelling.png"" alt=""""><br />
Interfaceanalyse im Enterprise Architecture Management}}}}"	
{{c1::Eine Abdeckungsanalyse (Coverage Analysis)}} ist {{c2::eine Funktionsanalyse über die Abdeckung von genutzten Funktionen in Relation zu den Produkten und Services zur Entdeckung von Redundanzen und Gaps}}.	
"Frage:<br />
Was sind typische Fragen der Abhängigkeitsanalyse?"	"<ul>
<li>Welche Anwendungssysteme sind betroffen, wenn wir die Technologie X ersetzen?</li>
<li>Welche Geschäftsprozesse sind von dem Ausfall eines bestimmten Servers betroffen?</li>
</ul>"
"{{c1::Eine Abhängigkeitsanalyse (Dependency Analysis)}} ist {{c2::eine Funktionsanalyse über die direkten Beziehungen und indirekten Beziehungen von Elementen und deren Abhängigkeiten}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Kalla-Abhaengigkeitsanalyse_im_Enterprise_Architecture_Modelling.png"" alt=""""><br />
Abhängigkeitsanalyse im Enterprise Architecture Management}}}}"	
{{c1::Eine Funktionsanalyse}} ist {{c2::eine qualitative Enterprise Architecture Model Analyse, welche strukturelle Aspekte und das Verhalten einer Enterprise Architecture untersucht}}.	
"{{c1::Eine vereinfachte Enterprise Architecture Model Analyse}} ist {{c2::eine einfachere Form der Enterprise Architecture Model Analyse}}.<br />
{{c1::{{c2::<img src=""2025-Bild-Kalla-Benefit_Map_aus_Vorteilen.png"" alt=""""><br />
Benefit Map aus Vorteilen}}}}"	
"<p>Eine vereinfachte Enterprise Architecture Model Analyse besteht aus mehreren Schritten:</p>
<ol>
<li>{{c1::Menge an Vorteilen aus bestehender Literatur identifizieren}}</li>
<li>{{c1::Durchführung von Interviews, um Vorteile zu ermitteln}}</li>
<li>{{c1::Vorteile auf EAM rückführen}}</li>
</ol>"	
{{c1::Eine quantitative Analyse}} ist {{c2::eine Analyse, welche messbare Indikatoren erzeugt}}.	
"<p>Die {{c1::qualitative Analyse}} besteht aus:</p>
<ul>
<li>{{c2::Kostenanalyse}}</li>
<li>{{c2::Performanz-Analyse}}</li>
<li>{{c2::Reliability-Analyse}}</li>
</ul>"	
"wahr oder falsch:<br />
Quantitative Analysen wie Kosten- oder Performance-Analysen können vollständig ohne qualitative Analysen erfolgen."	"falsch:<br />
Beide Analysearten sind stark vernetzt, wobei qualitative Ergebnisse oft die Basis für quantitative Analysen (und vice versa) liefern."
{{c1::Eine qualitative Analyse}} ist {{c2::eine Analyse, welche Erkenntnisse über verschiedene Aspekte erzeugt}}.	
"<p>{{c1::Die qualitative Analyse}} besteht aus:</p>
<ul>
<li>{{c2::Funktionsanalyse}}</li>
<li>{{c2::Portfolioanalyse}}</li>
<li>{{c2::Risikoanalyse}}</li>
</ul>"	
"Beispiel:<br />
Enterprise Architecture Model Analyse"	"<ul>
<li>Beschaffungsentscheidungen: Darstellung kritischer Abhängigkeiten der Elemente, die als intern oder extern ausgelagert betrachtet werden</li>
<li>Business-IT-Alignment: Erkennung doppelter oder unzureichend IT-gestützter Prozesse</li>
<li>Compliance-Management: Überprüfung der Einhaltung gesetzlicher Anforderungen und interner Richtlinien</li>
<li>Einführung von Standardsoftware: Identifizierung möglicher Lücken des Produkts und seiner Schnittstellen</li>
<li>Post-Merger-Integration: Der Vergleich zweier Enterprise Architecture-Modelle liefert Erkenntnisse für Konsolidierungsbemühungen</li>
<li>Qualitätsmanagement: Ordnungsgemäße Dokumentation von Prozessen, Rollen, Organisationseinheiten und deren Zusammenhängen</li>
<li>Technologierisikomanagement: Wissen darüber, welche Technologien bestimmte Geschäftsprozesse unterstützen</li>
</ul>"
"wahr oder falsch:<br />
In der Enterprise Architecture Model Analyse wird zwischen quantitativen Methoden und qualitativen Methoden unterschieden."	wahr
{{c1::Enterprise Architecture Model Analyse}} ist {{c2::die Anwendung von Kriterien auf ein Enterprise Architecture Model zur Erzeugung von neuem Wissen}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Gaps in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Gap.png"" alt="""">"
{{c1::Eine Gap}} ist {{c2::ein Unterschied zwischen zwei Plateaus}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Plateaus in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Plateau.png"" alt="""">"
"wahr oder falsch:<br />
Ein Plateau ist ein stabiler Zielzustand im ArchiMate Strategy Layer, der dauerhaft angestrebt wird."	"falsch:<br />
Ein Plateau beschreibt einen temporären Übergangszustand (Transition Architecture) zwischen As-Is-Zustand und To-Be-Zustand."
{{c1::Ein Plateau}} ist {{c2::ein Transitions-Zustand der Architektur}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Implementation Events in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Implementation_Event.png"" alt="""">"
{{c1::Ein Implementation Event}} ist {{c2::eine Statusänderung in der Implementations- und Migrationsebene}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Work Packages in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Work_Package.png"" alt="""">"
"Frage:<br />
Was versteht man unter einem Work Package in der ArchiMate Implementation Layer?"	Ein Work Package ist ein zeitlich abgegrenztes Arbeitspaket mit definiertem Start, Ende und Ergebnissen. Es kann Deliverables erzeugen und zu Implementierungsevents führen.
{{c1::Ein Work Package}} ist {{c2::eine Menge an Elementen mit einem definierten Startdatum und Enddatum}}.	
{{c1::Ein Implementation- und Migration-Element}} ist {{c2::ein Baustein in TOGAF zur Überstützung der Implementations- und Migrationsebene}}.	
"Frage:<br />
Mit welchem Modellierungselement wird ein Course of Action in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Course_of_Action.png"" alt="""">"
{{c1::Ein Course of Action}} ist {{c2::ein Verhaltenskonzept als Ansatz eines Planes oder eine Konfiguration von Kapazitäten und Ressourcen, um ein Ziel zu erreichen}}.	
"Frage:<br />
Mit welchem Modellierungselement wird Meaning in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Meaning.png"" alt="""">"
{{c1::Meaning}} ist {{c2::die Repräsentation von Wissen in Bezug zu einem Kontext}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Outcomes in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Outcome.png"" alt="""">"
{{c1::Ein Outcome in der Architektur}} ist {{c2::das Resultat, welches erreicht wurde}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Assessments in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Assessment.png"" alt="""">"
{{c1::Ein Assessment}} ist {{c2::das Resultat der Analyse von einem Driver}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Constrians in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Constrain.png"" alt="""">"
{{c1::Ein Constrain}} ist {{c2::eine Restriktion in einem System}}.	
{{c1::Das Motivationskonzept der Architektur}} ist {{c2::ein Konzept zur Modellierung von Motivationen und Gründe für eine Enterprise Architecture}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Distribution Networks in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Distribution_Network.png"" alt="""">"
{{c1::Ein Distribution Network}} ist {{c2::ein physikalisches Netzwerk in der physischen Ebene}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Facilities in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Facility.png"" alt="""">"
{{c1::Eine Facility}} ist {{c2::eine physikalische Struktur oder dessen Umwelt in der physischen Ebene}}.	
"Frage:<br />
Mit welchem Modellierungselement wird Equipment in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Equipment.png"" alt="""">"
{{c1::Equipment}} ist {{c2::ein physisches Objekt in der physischen Ebene}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Driver in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Driver.png"" alt="""">"
{{c1::Ein Treiber (Driver)}} ist {{c2::ein Stakeholder, welcher Motivation für Veränderungen in einer Organisation schafft}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Technology Processes in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Technology_Process.png"" alt="""">"
{{c1::Ein Technology Process}} ist {{c2::eine aktive Struktur der Technologieebene von einem Prozess von Aktivitäten mit Bezug zu Technologie}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Technology Events in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Technology_Event.png"" alt="""">"
{{c1::Ein Technology Event}} ist {{c2::eine aktive Struktur der Technologieebene als eine Zustandsänderung einer Technologie}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Technology Interactions in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Technology_Interaction.png"" alt="""">"
{{c1::Ein Technology Interaction}} ist {{c2::eine aktive Struktur der Technologieebene als  Interaktion einer oder mehrerer aktiven Strukturen}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Technology Services in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Technology_Service.png"" alt="""">"
{{c1::Ein Technology Service}} ist {{c2::eine aktive Struktur der Technologieebene als Funktionalitäten, welche aktive Strukturen ihrer Umwelt zur Verfügung stellen}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Technology Functions in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Technology_Function.png"" alt="""">"
{{c1::Ein Technology Function}} ist {{c2::eine aktive Struktur der Technologieebene als einer Gruppe von automatisierten Verhalten, welche von einer aktiven Struktur genutzt werden kann}}.	
"Beispiel:<br />
Technology Artifact"	"<ul>
<li>Datenbanken</li>
<li>Quelldateien</li>
<li>Skripte</li>
</ul>"
"Frage:<br />
Mit welchem Modellierungselement werden Technology Artifacts in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Artifact.png"" alt="""">"
"wahr oder falsch:<br />
Ein Technology Artifact in ArchiMate beschreibt unter anderem Quellcode oder Konfigurationsdateien."	wahr
"Frage:<br />
Mit welchem Modellierungselement werden Netzwerke in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Network.png"" alt="""">"
{{c1::Ein Netzwerk in der Architektur}} ist {{c2::eine aktive Struktur der Technologieebene als Netz, welches Geräte oder Software System zum Austausch von Daten miteinander verbindet}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Paths in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Path.png"" alt="""">"
{{c1::Ein Pfad (Path) in der Architektur}} ist {{c2::eine aktive Struktur der Technologieebene als Verbindung zwischen zwei oder mehreren aktiven Strukturen in welcher die Elemente bestimmte Daten oder Ressourcen austauschen}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Technology Collaborations in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Technology_Collaboration.png"" alt="""">"
{{c1::Eine Technology Collaboration}} ist {{c2::eine aktive Struktur der Technologieebene als Aggregation von zwei oder mehreren aktiven Strukturen zur Durchführung eines gemeinsamen Verhaltens}}.	
{{c1::Ein Verhaltenskonzept der Technologieebene}} ist {{c2::die Konzeption alle Tätigkeiten von Elementen in einer Struktur in der Technologieebene}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Technology Interfaces in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Technology_Interface.png"" alt="""">"
{{c1::Ein Technology Interface}} ist {{c2::eine aktive Struktur der Technologieebene als Interface für Technology Services}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Devices in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Device.png"" alt="""">"
{{c1::Ein Device (Gerät)}} ist {{c2::eine aktive Struktur der Technologieebene als eine physische IT-Ressource, auf der System Software und Artefakte gespeichert und ausgeführt werden können}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Nodes in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Node.png"" alt="""">"
{{c1::Ein Node in der Architektur}} ist {{c2::eine aktive Struktur der Technologieebene als eine rechnergestützte oder physische Ressource, die andere Ressourcen besitzt, manipuliert oder mit diesen interagiert}}.	
{{c1::Eine passive Struktur der Technologieebene}} ist {{c2::ein Element der Technologieebene, an welchem Verhalten durchgeführt wird}}.	
{{c1::Eine aktive Struktur der Technologieebene}} ist {{c2::ein Element in der Technologieebene, welches als Subjekt Verhalten durchführt}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Data Objects in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Data_Object.png"" alt="""">"
{{c1::Ein Data Object}} ist {{c2::eine passive Struktur der Applikationsebene, welche durch automatische Prozesse beeinflusst wird}}.	
{{c1::Eine passive Struktur der Applikationsebene}} ist {{c2::ein Element der Applikationsebene, an welchem Verhalten durchgeführt wird}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Application Events in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Application_Event.png"" alt="""">"
{{c1::Ein Application Event}} ist {{c2::ein Verhaltenskonzept der Applikationsebene als eine Zustandsveränderung in einer Applikation}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Application Interactions in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Application_Interaction.png"" alt="""">"
{{c1::Eine Application Interaction}} ist {{c2::ein Verhaltenskonzept der Applikationsebene als Interaktion einer Application Collaboration}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Application Services in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Application_Service.png"" alt="""">"
{{c1::Eine Application Service}} ist {{c2::ein Verhaltenskonzept der Applikationsebene als Funktionalitäten, welche Application Components ihrer Umwelt zur Verfügung stellen}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Application Processes in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Application_Process.png"" alt="""">"
{{c1::Eine Application Process}} ist {{c2::ein Verhaltenskonzept der Applikationsebene von einem Prozess von Aktivitäten in einer Applikation}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Application Functions in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Application_Function.png"" alt="""">"
{{c1::Eine Application Function}} ist {{c2::ein Verhaltenskonzept der Applikationsebene als eine Gruppe von automatisierten Verhalten, welche von einer Application Component ausgeführt werden kann}}.	
{{c1::Ein Verhaltenskonzept der Applikationsebene}} ist {{c2::die Konzeption alle Tätigkeiten von Elementen in einer Struktur in der Applikationsebene}}.	
{{c1::Ein Application-to-Business Interface}} ist {{c2::ein Application Interface, welches externe Application Services anbietet}}.	
{{c1::Ein Application-to-Application Interface}} ist {{c2::ein Application Interface, welches interne Application Services anbietet}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Application Interfaces in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Application_Interface.png"" alt="""">"
{{c1::Ein Application Interface}} ist {{c2::eine aktive Struktur der Applikationsebene als Interface für ein Application Service, welcher einem Benutzer oder einer anderen Application Component zugänglich gemacht wird}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Application Collaborations in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Application_Collaboration.png"" alt="""">"
{{c1::Eine Application Collaboration}} ist {{c2::eine aktive Struktur der Applikationsebene als Aggregation von zwei oder mehreren Application Components zur Durchführung eines gemeinsamen Verhaltens}}.	
{{c1::Eine aktive Struktur}} der {{c2::Applikationsebene ist ein Element in der Applikationsebene, welches als Subjekt Verhalten durchführt}}.	
"Beispiel:<br />
Application Component"	"<ul>
<li>Software Applications</li>
<li>Software Component</li>
</ul>"
"Frage:<br />
Mit welchem Modellierungselement werden Application Components in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Application_Component.png"" alt="""">"
{{c1::Eine Application Component}} ist {{c2::eine aktive Struktur der Applikationsebene als modularer, einsatzfähiger und austauschbarer Teil eines Software System, welche sein Verhalten und seine Daten kapselt und diese über eine Reihe von Schnittstellen offenlegt}}.	
"Frage:<br />
Mit welchem Modellierungselement wird Flow in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Flow.png"" alt=""""><br />
<img src=""2025-Bild-Kalla-Flow_Beispiel.png"" alt="""">"
"wahr oder falsch:<br />
Der Flow impliziert eine kausale Beziehung."	"falsch:<br />
Er impliziert keine kausale Beziehung."
"wahr oder falsch:<br />
Der Flow impliziert nicht eine kausale Beziehung."	wahr
{{c1::Der Flow in der Logik}} ist {{c2::eine dynamische Relation über den Transfer von Elementen einem Element auf ein anderes Element}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Trigger in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Trigger.png"" alt=""""><br />
<img src=""2025-Bild-Kalla-Trigger_Beispiel.png"" alt="""">"
{{c1::Ein Trigger}} ist {{c2::eine dynamische Relation zur Modellierung einer kausalen Beziehung}}.	
"Frage:<br />
Mit welchem Modellierungselement wird Access in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Access.png"" alt=""""><br />
<img src=""2025-Bild-Kalla-Access_Beispiel.png"" alt="""">"
"Frage:<br />
Was versteht man unter Access in ArchiMate und in welchem Layer wird es typischerweise verwendet?"	Access modelliert, dass ein Verhalten (z. B. Prozess, Funktion, Event) auf ein passives Element (z. B. Business Object) zugreift. Access ist typisch für die Business Layer, kann aber auch in anderen Layern vorkommen.
{{c1::Access}} ist {{c2::eine Abhängigkeitsrelation über die Aktivität von einem Verhaltenskonzept mit einer passiven Struktur}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Servings in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Serving.png"" alt=""""><br />
<img src=""2025-Bild-Kalla-Serving_Beispiel.png"" alt="""">"
{{c1::Serving}} ist {{c2::eine Abhängigkeitsrelation über die Bereitstellung einer Funktionalität von einem Element für ein anderes Element}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Realizationen in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Realization.png"" alt=""""><br />
<img src=""2025-Bild-Kalla-Realization_Beispiel.png"" alt="""">"
{{c1::Realization}} ist {{c2::eine strukturelle Relation über die kritische Rolle von einem Element für die Schaffung, Bereitstellung oder Durchführung einer Entität}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Assignments in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Assignment.png"" alt=""""><br />
<img src=""2025-Bild-Kalla-Assignment_Beispiel.png"" alt="""">"
{{c1::Assignment}} ist {{c2::eine strukturelle Relation von einer aktiven Struktur zu Verhaltenskonzepten}}.	
{{c1::Eine dynamische Relation}} ist {{c2::eine Relation, um ein Verhalten zwischen Elementen zu modellieren}}.	
{{c1::Eine Abhängigkeitsbeziehung (Abhängigkeitsrelation, Dependency Relation)}} ist {{c2::eine Relation, um eine Abhängigkeit zu modellieren}}.	
{{c1::Eine strukturelle Relation}} ist {{c2::eine Relation, um eine statische Konstruktion oder Komposition von gleichen oder ähnlichen Konzepten zu modellieren}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Locations in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Location.png"" alt="""">"
{{c1::Eine Location}} ist {{c2::eine aktive Struktur der Geschäftsebene als festgelegter Punkt in einem Raum}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Business Objects in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Business_Object.png"" alt="""">"
{{c1::Ein Business Object}} ist {{c2::eine passive Struktur der Geschäftsebene, welche durch Verhalten beeinflusst wird}}.	
{{c1::Ein Verhaltenskonzept der Geschäftsebene}} ist {{c2::die Konzeption alle Tätigkeiten von Elementen in einer Struktur}}.	
{{c1::Eine passive Struktur der Geschäftsebene}} ist {{c2::ein Element der Geschäftsebene, an welchem Verhalten durchgeführt wird}}.	
{{c1::Eine aktive Struktur der Geschäftsebene}} ist {{c2::ein Element in der Geschäftsebene, welche als Subjekt Verhalten durchführt}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Business Events in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Business_Event.png"" alt="""">"
{{c1::Ein Business Event}} ist {{c2::ein Verhaltenskonzept der Geschäftsebene als eine Zustandsveränderung in einer Organisation}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Business Services in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Business_Service.png"" alt="""">"
{{c1::Ein Business Service}} ist {{c2::ein Verhaltenskonzept der Geschäftsebene als Service, welcher die Anforderungen eines externen Kunden oder internen Kunden erfüllt}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Business Collaborations in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Business_Collaboration.png"" alt="""">"
"wahr oder falsch:<br />
Eine Business Collaboration ist eine permanente Instanz in einer Organisation."	"falsch:<br />
Es ist keine permanente Instanz."
"wahr oder falsch:<br />
Eine Business Collaboration ist keine permanente Instanz in einer Organisation."	wahr
{{c1::Eine Business Collaboration}} ist {{c2::eine aktive Struktur der Geschäftsebene als Aggregation von zwei oder mehreren Business Roles zur Durchführung eines gemeinsamen Verhaltens}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Business Interactions in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Business_Interaction.png"" alt="""">"
{{c1::Eine Business Interaction}} ist {{c2::ein Verhaltenskonzept der Geschäftsebene von einer Business Collaboration}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Business Interfaces in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Business_Interface.png"" alt="""">"
{{c1::Ein Business Interface}} ist {{c2::eine aktive Struktur der Geschäftsebene als Interface für einen Business Service, welcher der Umwelt zugänglich gemacht wird}}. {{c1::Ein Business Interface}} benötigt immer ein dazugehörigen {{c3::Business Service}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Business Roles in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Business_Role.png"" alt="""">"
"Beispiel:<br />
Business Role"	"<ul>
<li>Käufer</li>
<li>Verkäufer</li>
</ul>"
{{c1::Eine Business Role}} ist {{c2::eine aktive Struktur der Geschäftsebene als Rolle, welche durch ein bestimmtes Verhalten definiert wird}}. {{c1::Einer Business Role}} können eine Menge an {{c3::Business Actors}} zugeordnet werden.	
"Frage:<br />
Mit welchem Modellierungselement werden Business Actors in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Business_Actor.png"" alt="""">"
"Beispiel:<br />
Business Actor"	"<ul>
<li>Abteilung</li>
<li>Person</li>
</ul>"
{{c1::Ein Business Actor}} ist {{c2::eine aktive Struktur der Geschäftsebene als Teileinheit, welche ein Verhalten durchführen kann}}.	
"Frage:<br />
Mit welchem Modellierungselement werden Business Functions in ArchiMate modelliert?"	"<img src=""2025-Bild-Kalla-Business_Function.png"" alt="""">"
"Frage:<br />
Was ist der Zweck der ArchiMate Implementation &amp; Migration Layers?"	Er dient der Unterstützung der TOGAF-Phasen E-G, indem er Programme, Projekte, Work Packages, Plateaus und Gaps modelliert, um Architekturveränderungen strukturiert umzusetzen.
{{c1::Die Implementations- und Migrationsebene (Implementation &amp; Migration Layer)}} ist {{c2::eine Ebene über die Implementation von Technologie und Migration von Technologie}}.	
"Frage:<br />
In welchem Kontext ist der Einsatz der Physical Layer in ArchiMate sinnvoll?"	hilfreich, wenn reale Infrastruktur (z. B. Lagerhallen, Geräte) eine kritische Rolle spielt (z. B. etwa bei Logistikunternehmen)
{{c1::Die physische Ebene (Physical Layer)}} ist {{c2::eine Ebene über physischen Objekte innerhalb einer Organisation}}. {{c1::Die physische Ebene}} erweitert {{c3::die Technologieebene}}.	
"Die Technologieebene (Technology Layer) ist eine Ebene über die Information Infrastructure.<br />
{{c1::{{c2::<img src=""2025-Bild-Kalla-Geschaeftsebene_Applikationsebene_Technologieebene.png"" alt=""""><br />
Geschäftsebene, Applikationsebene und Technologieebene}}}}"	
